IDPH License ID Number,Facility Name,Address,County,date,Telephone Number,print name & title,Firm Name & Address,Telephone,Percent Occupancy,BALANCE SHEET,Beds at Beginning of Report Period-1,Licensure Level of Care-1,Beds at End of Report Period-1,Licensed Bed Days During Report Period-1,Beds at Beginning of Report Period-2,Licensure Level of Care-2,Beds at End of Report Period-2,Licensed Bed Days During Report Period-2,Beds at Beginning of Report Period-3,Licensure Level of Care-3,Beds at End of Report Period-3,Licensed Bed Days During Report Period-3,Beds at Beginning of Report Period-4,Licensure Level of Care-4,Beds at End of Report Period-4,Licensed Bed Days During Report Period-4,Beds at Beginning of Report Period-5,Licensure Level of Care-5,Beds at End of Report Period-5,Licensed Bed Days During Report Period-5,Beds at Beginning of Report Period-6,Licensure Level of Care-6,Beds at End of Report Period-6,Licensed Bed Days During Report Period-6,Op-Cash on Hand and in Banks,A.Cons-Cash on Hand and in Banks,Op-Cash-Patient Deposits,A.Cons-Cash-Patient Deposits,Op-Accounts & Short-Term Notes Receivable,A.Cons-Accounts & Short-Term Notes Receivable,Op-Supply Inventory,A.Cons-Supply Inventory,Op-Short-Term Investments,A.Cons-Short-Term Investments,Op-Prepaid Insurance,A.Cons-Prepaid Insurance,Op-Other Prepaid Expenses,A.Cons-Other Prepaid Expenses,Op-Accounts Receivable (owners or related parties),A.Cons-Accounts Receivable (owners or related parties),Op-Other(specify),A.Cons-Other(specify),Op-TOTAL Current Assets (sum of lines 1 thru 9),A.Cons-TOTAL Current Assets (sum of lines 1 thru 9),Op-Long-Term Notes Receivable,A.Cons-Long-Term Notes Receivable,Op-Long-Term Investments,A.Cons-Long-Term Investments,Op-Land,A.Cons-Land,"Op-Buildings, at Historical Cost","A.Cons-Buildings, at Historical Cost","Op-Leasehold Improvements, at Historical Cost","A.Cons-Leasehold Improvements, at Historical Cost","Op-Equipment, at Historical Cost","A.Cons-Equipment, at Historical Cost",Op-Accumulated Depreciation (book methods),A.Cons-Accumulated Depreciation (book methods),Op-Deferred Charges,A.Cons-Deferred Charges,Op-Organization & Pre-Operating Costs,A.Cons-Organization & Pre-Operating Costs,Op-Accumulated Amortization - Organization & Pre-Operating Costs,A.Cons-Accumulated Amortization - Organization & Pre-Operating Costs,Op-Restricted Funds,A.Cons-Restricted Funds,Op-Other Long-Term Assets (specify),A.Cons-Other Long-Term Assets (specify),Op-TOTAL Long-Term Assets (sum of lines 11 thru 23),A.Cons-TOTAL Long-Term Assets (sum of lines 11 thru 23),Op-TOTAL ASSETS (sum of lines 10 and 24),A.Cons-TOTAL ASSETS (sum of lines 10 and 24),Op-Accounts Payable,A.Cons-Accounts Payable,Op-Officer's Accounts Payable,A.Cons-Officer's Accounts Payable,Op-Accounts Payable-Patient Deposits,A.Cons-Accounts Payable-Patient Deposits,Op-Short-Term Notes Payable,A.Cons-Short-Term Notes Payable,Op-Accrued Salaries Payable,A.Cons-Accrued Salaries Payable,Op-Accrued Taxes Payable (excluding real estate taxes),A.Cons-Accrued Taxes Payable (excluding real estate taxes),Op-Accrued Real Estate Taxes(Sch.IX-B),A.Cons-Accrued Real Estate Taxes(Sch.IX-B),Op-Accrued Interest Payable,A.Cons-Accrued Interest Payable,Op-Deferred Compensation,A.Cons-Deferred Compensation,Op-Federal and State Income Taxes,A.Cons-Federal and State Income Taxes,Op-TOTAL Current Liabilities (sum of lines 26 thru 37),A.Cons-TOTAL Current Liabilities (sum of lines 26 thru 37),Op-Long-Term Notes Payable,A.Cons-Long-Term Notes Payable,Op-Mortgage Payable,A.Cons-Mortgage Payable,Op-Bonds Payable,A.Cons-Bonds Payable,Op-TOTAL Long-Term Liabilities (sum of lines 39 thru 44),A.Cons-TOTAL Long-Term Liabilities (sum of lines 39 thru 44),Op-TOTAL LIABILITIES (sum of lines 38 and 45),A.Cons-TOTAL LIABILITIES (sum of lines 38 and 45),"Op-TOTAL EQUITY(page 18, line 24)","A.Cons-TOTAL EQUITY(page 18, line 24)",Op-TOTAL LIABILITIES AND EQUITY (sum of lines 46 and 47),A.Cons-TOTAL LIABILITIES AND EQUITY (sum of lines 46 and 47),Gross Revenue -- All Levels of Care,Discounts and Allowances for all Levels,SUBTOTAL Inpatient Care (line 1 minus line 2),Day Care,Other Care for Outpatients,Therapy,Oxygen,SUBTOTAL Ancillary Revenue (lines 4 thru 7),Payments for Education,Other Government Grants,CNA Training Reimbursements,Gift and Coffee Shop,Barber and Beauty Care,Non-Patient Meals,"Telephone, Television and Radio",Rental of Facility Space,Sale of Drugs,Sale of Supplies to Non-Patients,Laboratory,Radiology and X-Ray,Other Medical Services,Laundry,SUBTOTAL Other Operating Revenue (lines 9 thru 22,Contributions,Interest and Other Investment Income***,SUBTOTAL Non-Operating Revenue (lines 24 and 25),"Settlement Income (Insurance, Legal, Etc.)","SUBTOTAL Other Revenue (lines 27, 28 and 28a)","TOTAL REVENUE (sum of lines 3, 8, 23, 26 and 29)",General Services,Health Care,General Administration,Ownership,Special Cost Centers,Provider Participation Fee,TOTAL EXPENSES (sum of lines 31 thru 39),Income before Income Taxes (line 30 minus line 40),Income Taxes,NET INCOME OR LOSS FOR THE YEAR (line 41 minus line 42),Medicaid - Net Inpatient Revenue,Private Pay - Net Inpatient Revenue,Medicare - Net Inpatient Revenue,Other-(specify) Med B income,TOTAL Inpatient Care Revenue (This total must agree to Line 3)
0039693,Abbington Rehab Nursing Ctr,31 West Central Roselle 60172 State of Illinois,Dupage,07/01/1994,(630)894-5058,"See Accountants Report Attached, 0","Mendel S Schneider C.P.A & Associates, 4051 Old Orchard Rd, Skokie, Il 60076",(847)933-1274 ,IMPORTANT,XV. BALANCE SHEET,22,Skilled (SNF),22,"8,052",,Skilled Pediatric (SNF/PED),,,60,Intermediate (ICF),60,"21,960",,Intermediate/DD,,,,Sheltered Care (SC),,,,ICF/DD 16 or Less,,,"1,079,875","1,284,193","54,997","54,997","152,157","152,157",,,,,"38,538","38,538","3,957","3,957",,,"120,000","
24","1,407,946","1,612,264",,,,,"101,756",,"2,333,258","2,333,258","1,225,116","1,225,116","254,990","361,990","864,048","2,539,043",,,"28,278","19
Accumulated","12,726",,,,,,"736,058","1,498,629","2,144,004","3,110,893","175,328","175,328",,,"55,027","55,027","462,227","462,227","331,834","331,834",822,822,"43,443","43,443",,,,0,,,"571,448","36
37","3,097,470",,,,,,$,,"1,640,129","4,166,151","503,875","1,055,258","2,144,004","3,110,893",,,"4,316,894",,,,,,,,,,,,,,,,,,,,,,"7,901","7,901",,"619,211","4,944,006","968,792","2,111,030","1,221,178","349,135","5
Provider","176,009","4,914,887","29,119",,"29,119","3,491,022","299,840","491,543","34,489","4,316,894"
0054197,Abbott House,405 Central Avenue Highland Park 60035 State of Illinois,Lake,12/15/1977,(847) 432-6080,"Steven N. Lavenda, CPA, Partner","Marcum, LLP, 9 Parkway North, Suite 200 Deerfield, IL 60015",(847) 282-6300 ,79.38%,XV. BALANCE SHEET,,Skilled (SNF),,,,Skilled Pediatric (SNF/PED),,,106,Intermediate (ICF),106,"38,796",,Intermediate/DD,,,,Sheltered Care (SC),,,,ICF/DD 16 or Less,,,"442,412","1,577,206","47,428","47,428",0,0,0,0,,,0,0,0,0,0,0,0,0,"1,100,746","2,239,863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,"147,765",,0,0,,,0,0,"4,576,037",,,,,,,,,,,,,,,,,,,,,,0,,984,,,,,"1,212,494","1,494,255","1,820,343","443,036",0,0,"4,987,473","236,326",,"236,326","4,061,089",805,,"8,143","4,576,037"
0039081,Aberdeen Terrace,4029 Aberdeen Alton 62002 State of Illinois,Madison,Type,(618)462-1515," Larry Templin, Partner","Templin Healthcare Accounting Services, LLP, P.O. Box 326, Plainfield, IL_ 60544-0326",(630) 361-2868 ,79.99%,XV. BALANCE SHEET,,Skilled (SNF),,,,Skilled Pediatric (SNF/PED),,,,Intermediate (ICF),,,,Intermediate/DD,,,,Sheltered Care (SC),,,16,ICF/DD 16 or Less,16,"5,856",0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,"3,198,646","3,198,646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"306,237",,"3,369,290","3,504,883",0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,016","14,016",0,0,0,0,"1,213,088",2,,,5,6,7,,,"17,547","13,680",,,14,,16,,18,,20,21,22,0,24,25,,27,,,"236,124","488,319","320,033","47,066",0,"75,181","1,167,790","177,250",,"177,250","1,213,088",,.,0,"1,213,088"
0054189,ABINGTON OF GLENVIEW NURSING,3901 GLENVIEW ROAD GLENVIEW 60025 State of Illinois,COOK,2/22/16,( 847 ) 729-0000,"KATHLEEN MCNAMARA, VICE-PRESIDENT","KBKB, LTD, 6201 W. HOWARD STREET SUITE 201, NILES, IL 60714",(847) 675-3585 ,50.83%,XV. BALANCE SHEET,192,Skilled (SNF),192,"70,272",,Skilled Pediatric (SNF/PED),,,,Intermediate (ICF),,,,Intermediate/DD,,,,Sheltered Care (SC),,,,ICF/DD 16 or Less,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,"2,536,243",,"6,671,977",,0,0,"8,810,694",,"12,492,766",,,,5,"871,481",7,,9,10,,40,,432,,16,,18,,20,21,22,0,24,"3,125",,27,,,"2,065,290","6,681,373","4,405,217","3,711,759","i
7","176,490",,"1,749,289",,"1,749,289","1,298,536","103,553","5,915,747","1,374,930","12,492,766"
0055004,Accolade HC Paxton on Pells,1001 East Pells St Paxton 60957,Ford,05/02/2018,(217) 379-4361,"Adam Slavens, Manager","Baker Tilly US, LLP, 225 South Sixth Street, Suite 2300, Minneapolis, MN 55402",(612) 876 45386 ,LL1,XV. BALANCE SHEET,106,Skilled (SNF),106,"38,796",,Skilled Pediatric (SNF/PED),,,,Intermediate (ICF),,,,Intermediate/DD,,,,Sheltered Care (SC),,,,ICF/DD 16 or Less,,,833,833,,,0,0,,,,,"21,109","21,109",,,,,,"420,561","2,819,605","2,819,605",,,,,,,,"14
15","152,407","152,407","111,426","111,426","43,225","43,225",,,,,,,,,,,"641,169","641,169","3,460,774",,"539,052","539,052",,,,,"233,609","233,609","143,801","143,801","86,626","86,626",0,0,"33,575","33,575",,0,,,0,0,"53,196","53,196",,,,,"420,164","420,164","2,020,030",,"1,440,744","1,440,744","3,460,774","3,460,774","9,824,256","1,987,051)",,,,"281,057",,,,,,,"2,989",44,,,,,,,315,,0,"1,929",78,,,,,0,0,0,0,0,0,"7,781,069","1,831,642",,"1,831,642","4,780,988","904,904","1,350,874","11,768","7,837,205"
0042069,Alden of Old Town East,108 South First St Bloomingdale 60108 State of Illinois,Dupage,05/09/98,(630) 671-1703,"0, 0","0, 0",773-286-3883 ,97.30%,XV. BALANCE SHEET,,Skilled (SNF),,0,,Skilled Pediatric (SNF/PED),,0,,Intermediate (ICF),,0,,Intermediate/DD,,0,,Sheltered Care (SC),,0,16,ICF/DD 16 or Less,16,"5,856",,,,,0,0,"44,008","44,008",,,"5,693","5,693","7,860","7,860",,,,"2,902,221","200,104","209,954",,,,,"140,913",,"934,861","934,861","61,346","108,032","149,317","404,835","112,927","866,967",,,,,,,"16,294",,0,0,"2,999,957","3,672,374","3,200,061","3,882,328","174,210","175,610",,,"1,295","1,295","26,700",,,,"26,558","26,558",0,0,"2,117",,,0,,,0,0,"102,751","102,751","989,680",,,,"120,406","1,110,086","1,125,599","2,163,376","2,074,462","1,718,952","3,200,061","3,882,328","1,512,441",,,,,,,,,,,,,,,,,,,,,,0,,58,,,,,"249,266","656,502","372,858","104,664",0,"83,652","1,794,393","42,220",,"42,220","1,313,954","191,538",,"6,949","1,512,441"
0042077,Alden of Old Town West,118 S Bloomingdale Bloomingdale 60108 State of Illinois,Dupage,05/19/98,(630) 671-1660,"0, 0","0, 0",773-286-3883 ,99.97%,XV. BALANCE SHEET,,Skilled (SNF),,0,,Skilled Pediatric (SNF/PED),,0,,Intermediate (ICF),,0,,Intermediate/DD,,0,,Sheltered Care (SC),,0,16,ICF/DD 16 or Less,16,"5,856",,,,,0,0,"42,003","42,003",,,"5,693","5,693","7,860","7,860",,,,"2,425,460","208,696","218,546",,,,,"141,874",,"934,861","934,861","65,077","111,763","90,341","344,332","105,222","857,735",,,,,,,"16,294",,"23,769",,"2,475,656","3,147,641","2,684,352","3,366,187","234,745","236,145",,,"7,609","7,609","26,700",,"98,574","98,574","29,503","29,503",0,0,"2,117",,,0,,,0,0,,,"989,680",,,,"19,664","1,009,344","1,209,679","2,246,922","1,474,673","1,119,265","2,684,352","3,366,187","1,678,096",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,"275,798","663,999","368,258","109,005",0,"89,778","1,869,477","164,545",,"164,545","1,678,096",,,,"1,678,096"
0042036,Alden of Waterford,2021 Randi Drive Aurora 60504 State of Illinois,Kane,Type,(630) 851-7266,"0, 0","0, 0",773-286-3883 ,LL1,XV. BALANCE SHEET,99,Skilled (SNF),99,"36,234",,Skilled Pediatric (SNF/PED),,0,,Intermediate (ICF),,0,,Intermediate/DD,,0,,Sheltered Care (SC),,0,,ICF/DD 16 or Less,,0,,,,,0,0,"81,189","81,189","115,154",,"42,888","42,888","9,251","9,251",,,,"1,190,177","1,342,441","1,658,669",,,,,"662,733",,"11,880,012","11,880,012","76,877","1,614,576","487,873","2,755,225","302,479","9,310,346",,,,,,,"71,086",,0,0,"1,452,448","8,975,167","2,794,889","10,633,836","722,638","899,115",,,"234,872","234,872","3,443","274,169","621,184","621,184","216,846","216,846",0,0,"8,381","48,518",,0,,,0,0,"1,058,094","3,408,909","10,903,917",,,,"1,674,935","14,929,667","7,284,856",,"4,489,967","13,411,894","2,794,889","10,633,836",,,"10,122,139",,,"321,948","11,206","333,154",,,,,,,,,,,,,"1,943",,"1,943",,"2,857","2,857",,"6,715","10,466,808","1,685,721","3,426,682","2,825,378","999,190",0,0,"11,449,218","982,410",,"982,410","2,098,335","41,262","5,778,326","1,804,216","10,122,139"
0044909,Alden Park Strathmoor,5668 Strathmoor Dr Rockford 61107 State of Illinois,Winnebago,08/01/2000,(815)229-5200,"0, 0","0, 0",773-286-3883 ,IMPORTANT,XV. BALANCE SHEET,189,Skilled (SNF),189,"69,174",,Skilled Pediatric (SNF/PED),,0,,Intermediate (ICF),,0,,Intermediate/DD,,0,,Sheltered Care (SC),,0,,ICF/DD 16 or Less,,0,,,,,0,0,"61,585","61,585",,,402,402,"3,960","3,960",,,,"4,675,501","1,397,023","1,595,272",,,"45,254","45,254","611,909",,"3,524,779","3,524,779","1,181,911","2,963,283","921,150","2,159,305","1,525,613","5,124,285",,,,,,,"136,878",,0,0,"5,298,203","9,170,310","6,695,226",,"971,337","973,836",,,"561,766","561,766","5,997","217,800","494,178","494,178","185,508","185,508","146,000",,129,"36,380",,0,,,0,0,"1,331,863","1,331,863","6,447,758",,,,"1,655,607","8,103,365","10,527,515","16,811,047","3,832,289","6,045,465","6,695,226","10,765,582",,,"11,817,262",,"247,510","195,251","58,245","501,006",,,,,,,,,,,442,100,"7,914",,"8,456",,"3,271","3,271",,"2,566","12,332,561","1,850,499","4,028,859","3,252,040","878,151","3870,
Provider","418,182","12,298,571","33,990",,"33,990","9,302,127","628,806","848,682","1,037,647","11,817,262"
0032896,Alden Poplar Creek Rehab HCC,1545 Barrington Road Hoffman Estates 60169 State of Illinois,Cook,01/01/88,(847) 884 - 0011,"0, 0","0, 0","773-286-3883
MAIL TO: BUREAU O",73.71%Page,XV. BALANCE SHEET,217,Skilled (SNF),217,"79,422",,Skilled Pediatric (SNF/PED),,0,,Intermediate (ICF),,0,,Intermediate/DD,,0,,Sheltered Care (SC),,0,,ICF/DD 16 or Less,,0,"32,724",,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,"2,001,432","2,058,465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"1,352,770","9,513,398
","10,700,121","20,354,944","19,901,061","15,822,106","30,601,182",,"15,102,414",,,,"166,420","260,191","27,142",,,,,,,,,,,,,,"12,749",,0,,"19,067",,,,,"2,153,117","5,851,162","3,852,361","2,600,725",0,0,"16,604,951","998,454",,"998,454","8,523,463","107,649","3,146,651","1,824,823","15,102,414"
